address,name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,approx_cost(for two people)
"172, Main Road, MG Road, Bangalore",Green Corner 743,Yes,No,4.2/5,161,080 45050326,MG Road,Casual Dining,"Sandwiches, Filter Coffee",Italian,750
"99, Ring Road, Whitefield, Bangalore",Golden Point 744,Yes,No,3.6/5,101,,Whitefield,Cafe,"Waffles, Masala Dosa, Butter Chicken, Pasta","South Indian, BBQ",550
"129, Main Road, Yelahanka, Bangalore",Blue Corner 745,Yes,No,3.9/5,199,080 49444969,Yelahanka,Bar,Chicken Wings,"Desserts, BBQ",450
"102, 2nd Stage, Bellandur, Bangalore",Classic House 746,Yes,No,4.5/5,94,080 44982595,Bellandur,Quick Bites,"Thali, Waffles","Thai, North Indian",400
"97, 2nd Stage, Electronic City, Bangalore",Red Corner 747,No,No,3.2/5,146,080 40803118,Electronic City,Delivery,"Gulab Jamun, Rolls, Sandwiches, Burgers",Italian,600
"193, Ring Road, Whitefield, Bangalore",Spice House 748,No,Yes,3.5/5,216,080 49157093,Whitefield,Dessert Parlor,"Masala Dosa, Filter Coffee, Tandoori Chicken, Cold Coffee","Andhra, Chinese, Biryani",350
"190, Main Road, BTM, Bangalore",Curry Adda 749,No,No,-,209,080 42326012,BTM,Quick Bites,"Butter Chicken, Chocolate Brownie, Paneer Butter Masala, Momos","Italian, South Indian, Thai",400
"70, Main Road, Sarjapur Road, Bangalore",Local Bites 750,No,No,3.9/5,469,080 40097326,Sarjapur Road,Casual Dining,Thali,Fast Food,550
"168, Ring Road, JP Nagar, Bangalore",Café Express 751,Yes,No,4.4/5,664,080 47210085,JP Nagar,Quick Bites,"Thali, Tandoori Chicken, Paneer Butter Masala, Idli",Andhra,500
"133, 1st Block, Malleshwaram, Bangalore",South Side Adda 752,No,No,4.0/5,178,080 46365485,Malleshwaram,Bar,"Burgers, Noodles, Gulab Jamun, Tandoori Chicken",Bakery,850
"19, Main Road, Koramangala, Bangalore",Café Villa 753,Yes,No,3.9/5,153,080 47805119,Koramangala,Delivery,"Chicken Wings, Masala Dosa",Biryani,400
"58, 2nd Stage, Jayanagar, Bangalore",Punjabi Restaurant 754,No,No,3.5/5,156,080 40838857,Jayanagar,Quick Bites,Butter Chicken,"Japanese, Biryani",400
"16, 2nd Stage, Rajajinagar, Bangalore",The Bar & Grill 755,Yes,No,3.5/5,471,080 48596468,Rajajinagar,Quick Bites,Noodles,Fast Food,300
"19, 2nd Stage, Whitefield, Bangalore",Royal Point 756,Yes,No,4.3/5,216,080 40057422,Whitefield,Delivery,"Sandwiches, Biryani","Biryani, Chinese",400
"185, 2nd Stage, Yelahanka, Bangalore",Royal Hub 757,Yes,Yes,4.2/5,135,080 48346761,Yelahanka,Casual Dining,"Filter Coffee, Gulab Jamun, Thali, Sandwiches","Chinese, BBQ, Continental",650
"171, Main Road, Jayanagar, Bangalore",South Side Bar & Grill 758,Yes,No,3.7/5,167,080 43339926,Jayanagar,Delivery,Thali,Mughlai,450
"63, Ring Road, Indiranagar, Bangalore",Punjabi Kitchen 759,Yes,No,4.2/5,216,080 47865513,Indiranagar,Delivery,,"Italian, Bakery",450
"160, 1st Block, Bellandur, Bangalore",Red Villa 760,No,No,3.7/5,259,080 42150177,Bellandur,Casual Dining,"Cold Coffee, Waffles","Italian, Andhra",550
"34, Cross, Banashankari, Bangalore",Punjabi Bistro 761,No,Yes,4.5/5,519,080 48275951,Banashankari,Fine Dining,Masala Dosa,"Bakery, Andhra, Chinese","2,350"
"80, Cross, Bellandur, Bangalore",Grand House 762,Yes,No,4.0/5,130,080 46571117,Bellandur,Food Court,"Idli, Noodles","Mughlai, Bakery, Biryani",300
"170, 2nd Stage, Basavanagudi, Bangalore",Green Bar & Grill 763,Yes,Yes,3.9/5,297,080 42119392,Basavanagudi,Quick Bites,"Butter Chicken, Idli, Gulab Jamun","Chinese, North Indian",300
"1, 1st Block, Koramangala, Bangalore",Red Express 764,No,No,2.8/5,226,080 49282498,Koramangala,Bakery,"Paneer Butter Masala, Sandwiches, Waffles, Butter Chicken",Italian,300
"60, 1st Block, MG Road, Bangalore",Spice Restaurant 765,No,No,3.6/5,151,080 42984619,MG Road,Food Court,"Momos, Biryani, Noodles",Street Food,350
"158, 2nd Stage, Indiranagar, Bangalore",South Side Point 766,Yes,Yes,4.1/5,562,080 47786151,Indiranagar,Casual Dining,,"Beverages, Bakery",550
"61, 1st Block, Jayanagar, Bangalore",Grand Kitchen 767,Yes,Yes,4.1/5,48,080 46652820,Jayanagar,Casual Dining,"Butter Chicken, Gulab Jamun","Bakery, North Indian, Italian",550
"126, Main Road, MG Road, Bangalore",Green Junction 768,Yes,No,3.8/5,21,080 40748198,MG Road,Casual Dining,Sandwiches,"Beverages, Japanese, South Indian",900
"28, Main Road, Bellandur, Bangalore",Punjabi Bistro 769,No,No,3.6/5,133,080 42591697,Bellandur,Quick Bites,Waffles,Street Food,300
"88, Ring Road, Rajajinagar, Bangalore",Punjabi Express 770,No,No,NEW,183,080 42885345,Rajajinagar,Delivery,Thali,"Bakery, Thai",350
"129, Ring Road, JP Nagar, Bangalore",Blue Bar & Grill 771,No,No,4.3/5,50,080 45446565,JP Nagar,Cafe,"Gulab Jamun, Paneer Butter Masala, Waffles, Burgers","Thai, Continental, South Indian",550
"199, Cross, MG Road, Bangalore",Café Bistro 772,Yes,No,4.1/5,91,080 49934811,MG Road,Dessert Parlor,"Tandoori Chicken, Filter Coffee, Biryani, Idli","Italian, South Indian, Biryani",300
"144, Ring Road, Marathahalli, Bangalore",Royal Junction 773,Yes,Yes,4.0/5,331,080 44720765,Marathahalli,Casual Dining,"Sandwiches, Pasta, Biryani","Thai, Chinese, Andhra",600
"29, 1st Block, Whitefield, Bangalore",Grand Diner 774,Yes,No,4.0/5,367,080 44617887,Whitefield,Food Court,,"Andhra, South Indian, Chinese",500
"7, 2nd Stage, BTM, Bangalore",Golden Bites 775,Yes,No,4.2/5,427,080 49092523,BTM,Quick Bites,"Paneer Butter Masala, Filter Coffee, Chocolate Brownie","BBQ, Street Food",550
"161, 1st Block, Electronic City, Bangalore",Curry Bistro 776,Yes,No,3.9/5,71,080 47462833,Electronic City,Cafe,Biryani,"North Indian, Desserts, Biryani",450
"55, Ring Road, Marathahalli, Bangalore",Classic Point 777,No,No,NEW,85,080 40598062,Marathahalli,Pub,"Gulab Jamun, Waffles, Momos","Cafe Food, BBQ","1,000"
"158, Ring Road, Indiranagar, Bangalore",Golden Bites 778,No,Yes,4.0/5,223,080 42994418,Indiranagar,Casual Dining,Paneer Butter Masala,,850
"156, 1st Block, Marathahalli, Bangalore",Classic Bistro 779,Yes,No,3.6/5,181,080 41343304,Marathahalli,Delivery,Gulab Jamun,"BBQ, South Indian",500
"70, Main Road, Malleshwaram, Bangalore",Punjabi Point 780,Yes,No,4.2/5,508,080 45768826,Malleshwaram,Delivery,,"Fast Food, Beverages",600
"153, Ring Road, Whitefield, Bangalore",Red Kitchen 781,No,No,3.6/5,77,080 43642511,Whitefield,Bakery,Rolls,Biryani,400
"155, Cross, Rajajinagar, Bangalore",Curry Corner 782,No,No,3.4/5,90,080 41676686,Rajajinagar,Quick Bites,"Filter Coffee, Noodles, Cold Coffee","Italian, Beverages, North Indian",300
"1, 1st Block, Banashankari, Bangalore",Café Diner 783,No,No,4.0/5,38,080 46916900,Banashankari,Quick Bites,"Waffles, Idli, Chocolate Brownie, Masala Dosa","Chinese, Mughlai, Continental",350
"5, 1st Block, Whitefield, Bangalore",Café Bar & Grill 784,No,No,3.9/5,137,080 46895216,Whitefield,Dessert Parlor,Butter Chicken,"South Indian, Chinese, Bakery",300
"129, 2nd Stage, Koramangala, Bangalore",Punjabi Point 785,Yes,No,4.2/5,299,080 47560452,Koramangala,Bar,"Sandwiches, Momos, Biryani, Cold Coffee",South Indian,750
"6, Cross, JP Nagar, Bangalore",Curry Restaurant 786,Yes,No,3.7/5,62,080 43832934,JP Nagar,Quick Bites,Chicken Wings,"Andhra, Street Food",300
"113, Main Road, Whitefield, Bangalore",Classic Bites 787,Yes,No,3.7/5,176,080 40039868,Whitefield,Quick Bites,Cold Coffee,,300
"2, Cross, Jayanagar, Bangalore",Café Cafe 788,Yes,No,4.0/5,40,080 42833890,Jayanagar,Fine Dining,"Rolls, Sandwiches","South Indian, Desserts, Street Food","2,250"
"113, Cross, Bellandur, Bangalore",Classic Bar & Grill 789,No,No,-,308,080 47405717,Bellandur,Quick Bites,"Sandwiches, Idli",Andhra,250
"148, Ring Road, Rajajinagar, Bangalore",Royal Junction 790,No,No,4.3/5,275,080 43037481,Rajajinagar,Fine Dining,"Masala Dosa, Gulab Jamun, Paneer Butter Masala, Filter Coffee","Mexican, Desserts, North Indian","1,750"
"7, 2nd Stage, Koramangala, Bangalore",Golden Cafe 791,No,No,3.8/5,291,080 44415320,Koramangala,Quick Bites,"Tandoori Chicken, Gulab Jamun, Pizza, Sandwiches",Cafe Food,350
"129, Cross, Banashankari, Bangalore",Green Hub 792,Yes,No,3.8/5,89,080 40555880,Banashankari,Quick Bites,"Idli, Sandwiches","Fast Food, Mughlai, Biryani",250
"160, Cross, JP Nagar, Bangalore",Red Junction 793,Yes,No,4.0/5,509,080 41153309,JP Nagar,Food Court,"Chocolate Brownie, Biryani, Sandwiches",Street Food,450
"17, 1st Block, Koramangala, Bangalore",South Side House 794,No,No,3.8/5,88,080 46255293,Koramangala,Cafe,"Tandoori Chicken, Noodles, Chicken Wings, Gulab Jamun",Thai,550
"142, Ring Road, HSR Layout, Bangalore",Punjabi Bites 795,Yes,No,4.6/5,504,080 49565021,HSR Layout,Bakery,"Filter Coffee, Chocolate Brownie, Idli","Biryani, Andhra, Chinese",400
"174, 1st Block, BTM, Bangalore",South Side Bar & Grill 796,No,No,3.2/5,80,080 40339683,BTM,Cafe,"Filter Coffee, Waffles","Japanese, Italian",800
"112, Cross, Marathahalli, Bangalore",Café Kitchen 797,No,No,3.6/5,94,080 46157577,Marathahalli,Casual Dining,"Biryani, Rolls, Gulab Jamun","Mughlai, Desserts",700
"12, Cross, Basavanagudi, Bangalore",Spice Corner 798,Yes,No,4.8/5,394,080 47982992,Basavanagudi,Casual Dining,"Masala Dosa, Cold Coffee, Gulab Jamun, Sandwiches","South Indian, Chinese, BBQ",550
"12, Ring Road, Electronic City, Bangalore",Classic House 799,Yes,No,4.0/5,49,080 48722768,Electronic City,Quick Bites,"Noodles, Pizza, Burgers",Continental,400
"159, Cross, Bellandur, Bangalore",Red Adda 800,No,No,4.1/5,57,080 43278999,Bellandur,Bakery,Pasta,"Desserts, Mughlai",200
"124, Main Road, Koramangala, Bangalore",South Side Point 801,Yes,No,3.5/5,145,080 48265207,Koramangala,Delivery,"Pizza, Gulab Jamun, Burgers",,350
"45, Cross, Jayanagar, Bangalore",Urban Point 802,No,No,4.0/5,399,080 48844745,Jayanagar,Casual Dining,"Momos, Butter Chicken, Idli","Mughlai, Japanese",600
"31, Ring Road, Electronic City, Bangalore",Classic Corner 803,No,No,3.5/5,256,080 48074984,Electronic City,Quick Bites,"Filter Coffee, Sandwiches, Idli, Pasta",South Indian,250
"30, Main Road, Koramangala, Bangalore",The House 804,Yes,No,3.4/5,137,080 40270119,Koramangala,Casual Dining,"Momos, Masala Dosa",Continental,650
"155, 1st Block, Sarjapur Road, Bangalore",Curry Restaurant 805,No,No,4.2/5,235,080 49429111,Sarjapur Road,Casual Dining,"Rolls, Waffles, Masala Dosa","Japanese, BBQ",800
"13, Ring Road, Koramangala, Bangalore",Green Diner 806,Yes,Yes,4.1/5,623,080 43987651,Koramangala,Casual Dining,Chocolate Brownie,"Biryani, Japanese, Chinese",550
"185, Ring Road, Electronic City, Bangalore",Green Junction 807,Yes,No,3.4/5,65,080 49747785,Electronic City,Quick Bites,"Thali, Momos",South Indian,250
"197, 1st Block, MG Road, Bangalore",Royal Bar & Grill 808,Yes,No,3.4/5,181,080 41654721,MG Road,Casual Dining,"Biryani, Gulab Jamun, Waffles","North Indian, Japanese",500
"176, Main Road, Koramangala, Bangalore",South Side Express 809,No,No,3.7/5,209,080 40657095,Koramangala,Delivery,"Cold Coffee, Thali, Gulab Jamun, Tandoori Chicken",South Indian,450
"47, Ring Road, Rajajinagar, Bangalore",South Side Diner 810,No,No,4.6/5,276,080 42756194,Rajajinagar,Casual Dining,"Pasta, Tandoori Chicken","Andhra, Mexican",750
"54, 1st Block, MG Road, Bangalore",Green Diner 811,Yes,No,3.7/5,516,080 49915418,MG Road,Casual Dining,"Pasta, Tandoori Chicken",Thai,750
"90, Cross, Indiranagar, Bangalore",Grand Restaurant 812,Yes,Yes,-,520,080 46600606,Indiranagar,Casual Dining,"Chicken Wings, Idli, Momos, Burgers","Japanese, North Indian, Bakery","1,100"
"63, Ring Road, Banashankari, Bangalore",Local Bar & Grill 813,No,No,3.8/5,216,080 48504541,Banashankari,Casual Dining,"Waffles, Thali","Beverages, Japanese, BBQ",500
"175, 1st Block, Jayanagar, Bangalore",Blue Adda 814,Yes,No,3.5/5,44,080 43576347,Jayanagar,Food Court,,"Street Food, Desserts, Chinese",500
"106, Main Road, BTM, Bangalore",Green Bistro 815,Yes,Yes,4.1/5,233,080 43942742,BTM,Bar,Chocolate Brownie,Continental,700
"50, Ring Road, JP Nagar, Bangalore",Local Express 816,Yes,No,3.5/5,464,080 40594302,JP Nagar,Casual Dining,Idli,Fast Food,250
"65, Ring Road, HSR Layout, Bangalore",Royal Point 817,No,No,4.1/5,271,080 45277293,HSR Layout,Casual Dining,Masala Dosa,"Cafe Food, North Indian",600
"90, Cross, JP Nagar, Bangalore",Royal House 818,Yes,No,3.7/5,194,080 45093165,JP Nagar,Delivery,"Butter Chicken, Pasta, Paneer Butter Masala","Beverages, South Indian",350
"149, 2nd Stage, Koramangala, Bangalore",South Side Bar & Grill 819,Yes,No,3.2/5,128,080 49183487,Koramangala,Cafe,"Thali, Chocolate Brownie","Mexican, Biryani, Mughlai",450
"143, Cross, JP Nagar, Bangalore",Red Cafe 820,Yes,Yes,NEW,483,080 45251120,JP Nagar,Bar,Tandoori Chicken,"Street Food, BBQ","1,100"
"160, Main Road, Marathahalli, Bangalore",Punjabi Restaurant 821,No,Yes,3.2/5,38,080 40857992,Marathahalli,Quick Bites,Masala Dosa,Beverages,450
"125, Cross, BTM, Bangalore",Café Diner 822,Yes,No,-,621,080 42782635,BTM,Delivery,Pizza,Andhra,350
"81, Cross, Marathahalli, Bangalore",Green Bistro 823,Yes,Yes,4.0/5,606,080 42042053,Marathahalli,Casual Dining,"Waffles, Sandwiches, Chicken Wings, Masala Dosa","Biryani, Chinese",700
"83, Cross, Electronic City, Bangalore",Spice Corner 824,No,No,NEW,235,080 44105481,Electronic City,Quick Bites,"Pizza, Masala Dosa, Thali, Paneer Butter Masala","Chinese, Fast Food",350
"180, Cross, JP Nagar, Bangalore",Punjabi Junction 825,No,No,4.1/5,438,080 43410692,JP Nagar,Casual Dining,"Idli, Rolls, Filter Coffee, Cold Coffee","BBQ, Mexican",750
"14, 1st Block, HSR Layout, Bangalore",Urban House 826,Yes,No,NEW,157,080 46496799,HSR Layout,Fine Dining,Pizza,"Mughlai, BBQ, Italian","1,200"
"182, Cross, Indiranagar, Bangalore",Local Adda 827,No,Yes,4.0/5,190,080 43948485,Indiranagar,Quick Bites,"Masala Dosa, Filter Coffee","Cafe Food, Street Food, Chinese",350
"123, 2nd Stage, Yelahanka, Bangalore",Royal Hub 828,Yes,No,-,669,080 44833771,Yelahanka,Quick Bites,"Tandoori Chicken, Masala Dosa","North Indian, Cafe Food",250
"24, Main Road, Indiranagar, Bangalore",Grand Bistro 829,No,No,3.6/5,178,080 45135622,Indiranagar,Quick Bites,"Idli, Thali, Gulab Jamun, Tandoori Chicken",BBQ,400
"130, Cross, Koramangala, Bangalore",Local Junction 830,No,No,4.4/5,175,080 49935000,Koramangala,Cafe,,"Biryani, Cafe Food, Fast Food",600
"4, Cross, Jayanagar, Bangalore",Café Corner 831,No,Yes,3.8/5,315,080 45518442,Jayanagar,Dessert Parlor,,"Chinese, Beverages, Andhra",350
"130, 1st Block, HSR Layout, Bangalore",Classic Adda 832,No,No,3.5/5,228,080 47181693,HSR Layout,Cafe,"Paneer Butter Masala, Noodles, Waffles, Biryani","Biryani, Thai",450
"6, 2nd Stage, BTM, Bangalore",South Side Bar & Grill 833,Yes,No,4.2/5,534,080 46945517,BTM,Casual Dining,"Momos, Rolls",Street Food,450
"23, 2nd Stage, MG Road, Bangalore",The Bar & Grill 834,No,No,3.9/5,82,080 49483302,MG Road,Cafe,"Masala Dosa, Sandwiches, Chicken Wings, Burgers","Andhra, South Indian",700
"18, Main Road, HSR Layout, Bangalore",South Side Bites 835,Yes,No,4.4/5,62,080 41572219,HSR Layout,Quick Bites,"Sandwiches, Waffles","Bakery, Japanese",350
"71, Ring Road, MG Road, Bangalore",Local Adda 836,Yes,Yes,4.1/5,529,080 46541535,MG Road,Casual Dining,,"Biryani, Beverages, South Indian",300
"36, 1st Block, Indiranagar, Bangalore",Spice Kitchen 837,No,No,4.5/5,967,080 41262851,Indiranagar,Fine Dining,"Noodles, Chocolate Brownie, Pasta, Chicken Wings","Desserts, Thai","1,950"
"112, 2nd Stage, Basavanagudi, Bangalore",Green Hub 838,Yes,No,4.4/5,402,080 42676550,Basavanagudi,Fine Dining,Sandwiches,North Indian,"1,600"
"127, 1st Block, Sarjapur Road, Bangalore",Grand Bites 839,No,Yes,4.0/5,33,080 42220125,Sarjapur Road,Casual Dining,,Street Food,550
"85, 2nd Stage, JP Nagar, Bangalore",South Side Diner 840,Yes,No,3.3/5,59,080 42467367,JP Nagar,Dessert Parlor,"Paneer Butter Masala, Tandoori Chicken, Noodles",BBQ,300
"139, Main Road, Sarjapur Road, Bangalore",South Side House 841,No,No,3.9/5,581,080 42115130,Sarjapur Road,Dessert Parlor,"Thali, Chicken Wings, Cold Coffee, Biryani","Chinese, BBQ",450
"164, 1st Block, BTM, Bangalore",Golden House 842,Yes,No,3.6/5,152,080 40644786,BTM,Sweet Shop,Waffles,"Bakery, Italian",250
"143, 2nd Stage, JP Nagar, Bangalore",Golden Corner 843,Yes,No,4.8/5,112,080 48165218,JP Nagar,Pub,"Rolls, Idli, Waffles, Tandoori Chicken","Cafe Food, Bakery","1,450"
"57, Ring Road, BTM, Bangalore",The Restaurant 844,No,No,3.5/5,656,080 49944408,BTM,Dessert Parlor,Filter Coffee,Andhra,400
"159, Ring Road, Koramangala, Bangalore",Punjabi Corner 845,Yes,No,4.1/5,93,080 42084950,Koramangala,Quick Bites,Pasta,"Continental, Fast Food, BBQ",250
"7, Ring Road, Whitefield, Bangalore",Green Junction 846,No,No,3.5/5,329,080 43474382,Whitefield,Kiosk,,"Japanese, Mexican, Fast Food",200
"151, Ring Road, Whitefield, Bangalore",Café Corner 847,Yes,No,-,441,080 43097535,Whitefield,Cafe,"Burgers, Paneer Butter Masala","South Indian, Cafe Food, BBQ",250
"3, Cross, Yelahanka, Bangalore",South Side Corner 848,Yes,No,3.3/5,168,080 43074716,Yelahanka,Casual Dining,"Rolls, Filter Coffee","Fast Food, Beverages",700
"123, 2nd Stage, Sarjapur Road, Bangalore",Blue Express 849,Yes,No,4.0/5,141,080 41825706,Sarjapur Road,Bar,"Butter Chicken, Sandwiches, Paneer Butter Masala","Fast Food, Thai",850
"180, Cross, Rajajinagar, Bangalore",Punjabi Bites 850,Yes,No,3.8/5,300,080 47191842,Rajajinagar,Quick Bites,"Momos, Sandwiches, Waffles, Chicken Wings","Bakery, Thai",500
"29, 2nd Stage, Koramangala, Bangalore",Royal Adda 851,Yes,No,3.3/5,177,080 48958847,Koramangala,Quick Bites,"Chicken Wings, Cold Coffee, Paneer Butter Masala",Mexican,350
"188, Main Road, Bellandur, Bangalore",Punjabi Adda 852,Yes,Yes,4.3/5,140,080 40471157,Bellandur,Casual Dining,"Paneer Butter Masala, Rolls, Idli","Thai, Continental, Japanese",800
"62, 1st Block, Indiranagar, Bangalore",South Side Diner 853,No,No,3.6/5,191,080 46176235,Indiranagar,Casual Dining,"Cold Coffee, Filter Coffee","Desserts, Andhra",800
"40, Ring Road, BTM, Bangalore",Spice Cafe 854,Yes,No,4.0/5,129,080 45145927,BTM,Dessert Parlor,"Idli, Momos, Cold Coffee","Cafe Food, North Indian, Mughlai",300
"3, 1st Block, Sarjapur Road, Bangalore",Urban Cafe 855,No,No,2.8/5,60,080 41208968,Sarjapur Road,Casual Dining,"Tandoori Chicken, Chocolate Brownie, Biryani, Burgers","Cafe Food, Chinese","1,000"
"57, Main Road, Koramangala, Bangalore",Royal Kitchen 856,Yes,Yes,4.7/5,583,080 48066590,Koramangala,Dessert Parlor,Pizza,North Indian,300
"187, 2nd Stage, MG Road, Bangalore",South Side Restaurant 857,No,No,3.9/5,304,080 49540388,MG Road,Casual Dining,Masala Dosa,"Japanese, Continental",700
"164, Ring Road, Electronic City, Bangalore",South Side Corner 858,Yes,No,3.7/5,239,080 41591869,Electronic City,Delivery,"Idli, Butter Chicken","Fast Food, Biryani, North Indian",450
"140, 2nd Stage, Whitefield, Bangalore",Café Express 859,No,No,4.3/5,357,080 46550491,Whitefield,Bar,"Sandwiches, Biryani, Pizza","Cafe Food, Japanese","1,050"
"191, Cross, JP Nagar, Bangalore",Spice Restaurant 860,Yes,No,4.4/5,647,080 47457104,JP Nagar,Casual Dining,Sandwiches,"Beverages, Continental, Biryani",650
"81, 1st Block, MG Road, Bangalore",Blue Cafe 861,Yes,No,3.9/5,72,080 45333831,MG Road,Quick Bites,"Butter Chicken, Pasta, Filter Coffee, Biryani","Continental, North Indian",300
"27, Ring Road, Sarjapur Road, Bangalore",Golden Kitchen 862,Yes,Yes,4.2/5,371,080 46461623,Sarjapur Road,Cafe,"Noodles, Waffles","Bakery, Thai, Cafe Food",450
"96, Ring Road, HSR Layout, Bangalore",Local Junction 863,Yes,No,4.1/5,166,080 40496152,HSR Layout,Bar,Waffles,"North Indian, Fast Food",450
"25, 2nd Stage, Marathahalli, Bangalore",Grand Restaurant 864,Yes,No,3.9/5,317,080 41538336,Marathahalli,Food Court,"Rolls, Masala Dosa","Beverages, Chinese",300
"151, Ring Road, MG Road, Bangalore",Urban Bar & Grill 865,Yes,No,4.7/5,204,080 42947109,MG Road,Cafe,Paneer Butter Masala,"Beverages, Street Food, Mexican",650
"60, 2nd Stage, Sarjapur Road, Bangalore",Local Restaurant 866,Yes,No,3.9/5,360,080 42815091,Sarjapur Road,Cafe,"Butter Chicken, Biryani, Masala Dosa, Tandoori Chicken",Andhra,400
"197, 2nd Stage, Bellandur, Bangalore",Golden Cafe 867,No,No,3.8/5,277,080 47645031,Bellandur,Food Court,Burgers,"Italian, Desserts",350
"93, Cross, Marathahalli, Bangalore",Grand Diner 868,No,No,3.7/5,353,080 45027962,Marathahalli,Bakery,"Momos, Sandwiches, Noodles, Waffles","North Indian, Biryani, Bakery",400
"23, Ring Road, Indiranagar, Bangalore",Green Adda 869,No,No,4.2/5,182,080 45978845,Indiranagar,Dessert Parlor,"Thali, Sandwiches, Pasta, Burgers","Italian, Biryani",350
"138, Main Road, JP Nagar, Bangalore",Spice Junction 870,Yes,No,3.7/5,55,080 45735929,JP Nagar,Cafe,"Burgers, Biryani, Thali, Idli","Mexican, Desserts, Mughlai",650
"124, Cross, Sarjapur Road, Bangalore",Blue Restaurant 871,Yes,No,3.5/5,162,080 43131062,Sarjapur Road,Quick Bites,"Cold Coffee, Butter Chicken, Momos, Gulab Jamun","Thai, Desserts",400
"167, Ring Road, Indiranagar, Bangalore",Café Express 872,No,No,3.6/5,66,080 45142955,Indiranagar,Casual Dining,Paneer Butter Masala,Mughlai,600
"196, 2nd Stage, Sarjapur Road, Bangalore",The Corner 873,Yes,Yes,4.0/5,160,080 44055483,Sarjapur Road,Quick Bites,Tandoori Chicken,Desserts,350
"23, Ring Road, Banashankari, Bangalore",Punjabi Diner 874,Yes,No,4.5/5,454,080 46940864,Banashankari,Quick Bites,,"Beverages, Japanese, Biryani",400
"42, 1st Block, HSR Layout, Bangalore",Golden Kitchen 875,Yes,No,3.4/5,189,080 46965392,HSR Layout,Quick Bites,"Gulab Jamun, Masala Dosa",BBQ,450
"161, Cross, Marathahalli, Bangalore",Spice Point 876,Yes,Yes,4.3/5,212,080 45925271,Marathahalli,Casual Dining,Thali,Chinese,600
"175, 2nd Stage, MG Road, Bangalore",Blue Cafe 877,No,No,4.6/5,236,080 42080712,MG Road,Quick Bites,"Gulab Jamun, Noodles, Biryani, Idli","Andhra, Thai",400
"184, Main Road, MG Road, Bangalore",Red Cafe 878,No,No,4.1/5,71,080 42580872,MG Road,Casual Dining,"Pizza, Thali",Desserts,700
"148, Ring Road, HSR Layout, Bangalore",Café Corner 879,Yes,No,4.1/5,78,080 41497405,HSR Layout,Delivery,"Filter Coffee, Idli","BBQ, Mexican",400
"31, Ring Road, HSR Layout, Bangalore",Grand Corner 880,Yes,No,3.9/5,270,080 45175156,HSR Layout,Casual Dining,"Sandwiches, Butter Chicken, Filter Coffee, Waffles","Cafe Food, Fast Food, Thai",850
"21, 1st Block, Whitefield, Bangalore",Local Express 881,No,No,4.1/5,386,080 46536827,Whitefield,Casual Dining,Pasta,"Street Food, Japanese",650
"103, Cross, Malleshwaram, Bangalore",Golden Bites 882,No,No,3.7/5,53,080 45665830,Malleshwaram,Dessert Parlor,"Thali, Chocolate Brownie","Andhra, Beverages",200
"114, Main Road, Jayanagar, Bangalore",Golden Cafe 883,No,No,4.3/5,811,080 44251464,Jayanagar,Bar,Waffles,"Chinese, Fast Food",850
"148, Cross, Sarjapur Road, Bangalore",Urban Kitchen 884,Yes,No,4.1/5,136,080 46890333,Sarjapur Road,Delivery,"Paneer Butter Masala, Momos","Street Food, Biryani, North Indian",400
"117, Main Road, JP Nagar, Bangalore",Café Point 885,Yes,No,3.9/5,46,080 46248461,JP Nagar,Delivery,"Waffles, Sandwiches","Chinese, Desserts",500
"110, 1st Block, Marathahalli, Bangalore",South Side Express 886,No,No,NEW,113,080 43384072,Marathahalli,Food Court,"Waffles, Sandwiches","Chinese, Thai",300
"185, Ring Road, Koramangala, Bangalore",Golden House 887,No,No,4.0/5,434,080 46567126,Koramangala,Fine Dining,"Pasta, Idli","Mughlai, Japanese","1,300"
"174, Ring Road, Bellandur, Bangalore",Grand Bar & Grill 888,Yes,No,3.7/5,147,080 42587276,Bellandur,Delivery,"Biryani, Gulab Jamun, Filter Coffee","Andhra, Cafe Food, Bakery",400
"178, Main Road, MG Road, Bangalore",Grand Restaurant 889,No,No,4.4/5,282,080 42156159,MG Road,Cafe,Paneer Butter Masala,Mughlai,450
"87, Main Road, Sarjapur Road, Bangalore",Spice Diner 890,No,Yes,NEW,224,080 48919978,Sarjapur Road,Casual Dining,Waffles,"Italian, Fast Food, Biryani","1,000"
"65, Main Road, Whitefield, Bangalore",Green Hub 891,Yes,No,4.0/5,192,080 40013696,Whitefield,Food Court,"Tandoori Chicken, Masala Dosa","Mughlai, Continental, Cafe Food",300
"170, 2nd Stage, Hebbal, Bangalore",Royal Diner 892,Yes,Yes,4.2/5,21,080 48024578,Hebbal,Sweet Shop,"Gulab Jamun, Sandwiches, Chocolate Brownie","Chinese, Mexican",350
"162, Main Road, Malleshwaram, Bangalore",Green Adda 893,Yes,No,4.0/5,92,080 46323658,Malleshwaram,Food Court,Butter Chicken,Chinese,500
"196, 2nd Stage, MG Road, Bangalore",Spice Kitchen 894,No,No,NEW,245,080 40024763,MG Road,Quick Bites,"Waffles, Noodles, Pizza, Pasta",Andhra,350
"160, Cross, Koramangala, Bangalore",Red Adda 895,Yes,No,NEW,400,080 46842235,Koramangala,Casual Dining,"Thali, Burgers","Italian, Japanese, Desserts",500
